7779, com.fasterxml.jackson.core.json.UTF8StreamJsonParser, void <clinit>()_0, <com.fasterxml.jackson.core.json.UTF8StreamJsonParser: int FEAT_MASK_NON_NUM_NUMBERS> = $stack5
7780, com.fasterxml.jackson.core.json.UTF8StreamJsonParser, void <clinit>()_0, $stack6 = <com.fasterxml.jackson.core.JsonParser$Feature: com.fasterxml.jackson.core.JsonParser$Feature ALLOW_MISSING_VALUES>
7781, com.fasterxml.jackson.core.json.UTF8StreamJsonParser, void <clinit>()_0, $stack7 = virtualinvoke $stack6.<com.fasterxml.jackson.core.JsonParser$Feature: int getMask()>()
7783, com.fasterxml.jackson.core.JsonParser$Feature, int getMask()_11 END, stack1_{7783} = Func_19_7783({this.<com.fasterxml.jackson.core.JsonParserFeature: int _mask>_{2248}})
7784, com.fasterxml.jackson.core.json.UTF8StreamJsonParser, void <clinit>()_0, <com.fasterxml.jackson.core.json.UTF8StreamJsonParser: int FEAT_MASK_ALLOW_MISSING> = $stack7
7785, com.fasterxml.jackson.core.json.UTF8StreamJsonParser, void <clinit>()_0, $stack8 = <com.fasterxml.jackson.core.JsonParser$Feature: com.fasterxml.jackson.core.JsonParser$Feature ALLOW_SINGLE_QUOTES>
7786, com.fasterxml.jackson.core.json.UTF8StreamJsonParser, void <clinit>()_0, $stack9 = virtualinvoke $stack8.<com.fasterxml.jackson.core.JsonParser$Feature: int getMask()>()
7788, com.fasterxml.jackson.core.JsonParser$Feature, int getMask()_12 END, stack1_{7788} = Func_20_7788({this.<com.fasterxml.jackson.core.JsonParserFeature: int _mask>_{2203}})
7789, com.fasterxml.jackson.core.json.UTF8StreamJsonParser, void <clinit>()_0, <com.fasterxml.jackson.core.json.UTF8StreamJsonParser: int FEAT_MASK_ALLOW_SINGLE_QUOTES> = $stack9
7790, com.fasterxml.jackson.core.json.UTF8StreamJsonParser, void <clinit>()_0, $stack10 = <com.fasterxml.jackson.core.JsonParser$Feature: com.fasterxml.jackson.core.JsonParser$Feature ALLOW_UNQUOTED_FIELD_NAMES>
7791, com.fasterxml.jackson.core.json.UTF8StreamJsonParser, void <clinit>()_0, $stack11 = virtualinvoke $stack10.<com.fasterxml.jackson.core.JsonParser$Feature: int getMask()>()
7793, com.fasterxml.jackson.core.JsonParser$Feature, int getMask()_13 END, stack1_{7793} = Func_21_7793({this.<com.fasterxml.jackson.core.JsonParserFeature: int _mask>_{2194}})
7794, com.fasterxml.jackson.core.json.UTF8StreamJsonParser, void <clinit>()_0, <com.fasterxml.jackson.core.json.UTF8StreamJsonParser: int FEAT_MASK_ALLOW_UNQUOTED_NAMES> = $stack11
7795, com.fasterxml.jackson.core.json.UTF8StreamJsonParser, void <clinit>()_0, $stack12 = <com.fasterxml.jackson.core.JsonParser$Feature: com.fasterxml.jackson.core.JsonParser$Feature ALLOW_COMMENTS>
7796, com.fasterxml.jackson.core.json.UTF8StreamJsonParser, void <clinit>()_0, $stack13 = virtualinvoke $stack12.<com.fasterxml.jackson.core.JsonParser$Feature: int getMask()>()
7798, com.fasterxml.jackson.core.JsonParser$Feature, int getMask()_14 END, stack1_{7798} = Func_22_7798({this.<com.fasterxml.jackson.core.JsonParserFeature: int _mask>_{2176}})
7799, com.fasterxml.jackson.core.json.UTF8StreamJsonParser, void <clinit>()_0, <com.fasterxml.jackson.core.json.UTF8StreamJsonParser: int FEAT_MASK_ALLOW_JAVA_COMMENTS> = $stack13
7800, com.fasterxml.jackson.core.json.UTF8StreamJsonParser, void <clinit>()_0, $stack14 = <com.fasterxml.jackson.core.JsonParser$Feature: com.fasterxml.jackson.core.JsonParser$Feature ALLOW_YAML_COMMENTS>
7801, com.fasterxml.jackson.core.json.UTF8StreamJsonParser, void <clinit>()_0, $stack15 = virtualinvoke $stack14.<com.fasterxml.jackson.core.JsonParser$Feature: int getMask()>()
7803, com.fasterxml.jackson.core.JsonParser$Feature, int getMask()_15 END, stack1_{7803} = Func_23_7803({this.<com.fasterxml.jackson.core.JsonParserFeature: int _mask>_{2185}})
7804, com.fasterxml.jackson.core.json.UTF8StreamJsonParser, void <clinit>()_0, <com.fasterxml.jackson.core.json.UTF8StreamJsonParser: int FEAT_MASK_ALLOW_YAML_COMMENTS> = $stack15
